feature,importance
EXT_SOURCE_3,0.091231495
EXT_SOURCE_2,0.08966373
NAME_EDUCATION_TYPE,0.048606254
CODE_GENDER,0.04516258
FLAG_OWN_CAR,0.03046846
NAME_CONTRACT_TYPE,0.029459484
NAME_INCOME_TYPE,0.026413826
REG_CITY_NOT_LIVE_CITY,0.025255019
DAYS_BIRTH,0.022871953
AMT_GOODS_PRICE,0.02243118
REGION_RATING_CLIENT_W_CITY,0.021439785
DAYS_EMPLOYED,0.019884262
DEF_30_CNT_SOCIAL_CIRCLE,0.018399537
DEF_60_CNT_SOCIAL_CIRCLE,0.018217111
AMT_CREDIT,0.017658548
AMT_ANNUITY,0.0167869
EMERGENCYSTATE_MODE,0.01596462
FLOORSMAX_MEDI,0.014782686
REG_CITY_NOT_WORK_CITY,0.014589318
AMT_REQ_CREDIT_BUREAU_QRT,0.014114333
DAYS_ID_PUBLISH,0.013850677
NAME_FAMILY_STATUS,0.012961228
DAYS_LAST_PHONE_CHANGE,0.012915935
FLAG_WORK_PHONE,0.012836503
FLOORSMAX_AVG,0.012638651
OCCUPATION_TYPE,0.012305563
FLAG_PHONE,0.012248109
AMT_REQ_CREDIT_BUREAU_YEAR,0.012224301
FLAG_EMP_PHONE,0.012041805
REGION_RATING_CLIENT,0.011588536
AMT_REQ_CREDIT_BUREAU_DAY,0.0111740995
ORGANIZATION_TYPE,0.011087348
FLAG_EMAIL,0.011053001
CNT_FAM_MEMBERS,0.010965703
YEARS_BEGINEXPLUATATION_MODE,0.01088797
YEARS_BEGINEXPLUATATION_MEDI,0.0108187115
NAME_HOUSING_TYPE,0.010493433
REGION_POPULATION_RELATIVE,0.0104091335
AMT_INCOME_TOTAL,0.010283007
TOTALAREA_MODE,0.010276574
DAYS_REGISTRATION,0.010109926
YEARS_BEGINEXPLUATATION_AVG,0.009866065
NAME_TYPE_SUITE,0.009782834
HOUR_APPR_PROCESS_START,0.009710053
OBS_60_CNT_SOCIAL_CIRCLE,0.009628044
OBS_30_CNT_SOCIAL_CIRCLE,0.009625096
AMT_REQ_CREDIT_BUREAU_MON,0.009455521
FLAG_OWN_REALTY,0.009389123
LIVE_REGION_NOT_WORK_REGION,0.009386833
AMT_REQ_CREDIT_BUREAU_WEEK,0.009378008
WEEKDAY_APPR_PROCESS_START,0.009180592
AMT_REQ_CREDIT_BUREAU_HOUR,0.009096989
LIVE_CITY_NOT_WORK_CITY,0.008771527
REG_REGION_NOT_LIVE_REGION,0.0086312955
CNT_CHILDREN,0.008410828
REG_REGION_NOT_WORK_REGION,0.008409095
FLOORSMAX_MODE,0.008397955
FLAG_CONT_MOBILE,0.0063087814
FLAG_MOBIL,0.0
